File,Start Line,End Line,Api,Type,Tips
main.py,8,8,torch.device,SUPPORTED,"""torch.device"" has no corresponding api in MindSpore, will be converted to adapted api ""x2ms_adapter.Device"" by x2mindspore."
main.py,21,21,torch.zeros,SUPPORTED,"The corresponding api of ""torch.zeros"" is ""mindspore.ops.Zeros"", will be converted to ""x2ms_adapter.zeros"" by x2mindspore."
main.py,24,24,torch.tensor,SUPPORTED,"The corresponding api of ""torch.tensor"" is ""mindspore.Tensor"", will be converted to ""x2ms_adapter.x2ms_tensor"" by x2mindspore."
main.py,24,24,torch.long,SUPPORTED,"""torch.long"" has no corresponding api in MindSpore, will be converted to adapted api ""mindspore.int64"" by x2mindspore."
main.py,30,30,torch.tensor,SUPPORTED,"The corresponding api of ""torch.tensor"" is ""mindspore.Tensor"", will be converted to ""x2ms_adapter.x2ms_tensor"" by x2mindspore."
main.py,30,30,torch.long,SUPPORTED,"""torch.long"" has no corresponding api in MindSpore, will be converted to adapted api ""mindspore.int64"" by x2mindspore."
main.py,64,64,torch.sort,SUPPORTED,"The corresponding api of ""torch.sort"" is ""mindspore.ops.Sort"", will be converted to ""x2ms_adapter.sort"" by x2mindspore."
main.py,95,95,torch.optim.Adam,SUPPORTED,"The corresponding api of ""torch.optim.Adam"" is ""mindspore.nn.Adam"", will be converted to ""optim_register.adam"" by x2mindspore."
main.py,242,242,torch.manual_seed,SUPPORTED,"""torch.manual_seed"" has no corresponding api in MindSpore, will be converted to adapted api ""mindspore.set_seed"" by x2mindspore."
main.py,243,243,torch.cuda.manual_seed_all,SUPPORTED,"""torch.cuda.manual_seed_all"" has no corresponding api in MindSpore, will be converted to adapted api ""mindspore.set_seed"" by x2mindspore."
model.py,11,11,torch.nn.Module,SUPPORTED,"The corresponding api of ""torch.nn.Module"" is ""mindspore.nn.Cell"", will be converted to ""nn.Cell"" by x2mindspore."
model.py,14,14,torch.nn.Parameter,SUPPORTED,"The corresponding api of ""torch.nn.Parameter"" is ""mindspore.Parameter"", will be converted to ""mindspore.Parameter"" by x2mindspore."
model.py,14,14,torch.tensor,SUPPORTED,"The corresponding api of ""torch.tensor"" is ""mindspore.Tensor"", will be converted to ""x2ms_adapter.x2ms_tensor"" by x2mindspore."
model.py,14,14,torch.int32,SUPPORTED,"""torch.int32"" has no corresponding api in MindSpore, will be converted to adapted api ""mindspore.int32"" by x2mindspore."
model.py,15,15,torch.nn.Parameter,SUPPORTED,"The corresponding api of ""torch.nn.Parameter"" is ""mindspore.Parameter"", will be converted to ""mindspore.Parameter"" by x2mindspore."
model.py,15,15,torch.tensor,SUPPORTED,"The corresponding api of ""torch.tensor"" is ""mindspore.Tensor"", will be converted to ""x2ms_adapter.x2ms_tensor"" by x2mindspore."
model.py,15,15,torch.float64,SUPPORTED,"""torch.float64"" has no corresponding api in MindSpore, will be converted to adapted api ""mindspore.float64"" by x2mindspore."
model.py,16,16,torch.nn.Parameter,SUPPORTED,"The corresponding api of ""torch.nn.Parameter"" is ""mindspore.Parameter"", will be converted to ""mindspore.Parameter"" by x2mindspore."
model.py,16,16,torch.tensor,SUPPORTED,"The corresponding api of ""torch.tensor"" is ""mindspore.Tensor"", will be converted to ""x2ms_adapter.x2ms_tensor"" by x2mindspore."
model.py,16,16,torch.int32,SUPPORTED,"""torch.int32"" has no corresponding api in MindSpore, will be converted to adapted api ""mindspore.int32"" by x2mindspore."
model.py,17,17,torch.nn.Parameter,SUPPORTED,"The corresponding api of ""torch.nn.Parameter"" is ""mindspore.Parameter"", will be converted to ""mindspore.Parameter"" by x2mindspore."
